Group,cg05748796,cg04199256,cg26605760,cg21881537,cg08559914,cg10468385,cg05039749,cg02481451,cg01489398,cg23232263,cg21657705,cg16734967,cg21094739
CFS,0.937495,0.844167,0.885107,0.897123,0.919642,0.937163,0.13302,0.918484,0.904907,0.827536,0.942385,0.700114,0.898692
CFS,0.908404,0.827386,0.86882,0.901158,0.829336,0.94232,0.105179,0.91373,0.888997,0.904565,0.940105,0.81919,0.909073
CFS,0.921258,0.829287,0.881677,0.905962,0.965349,0.937975,0.235314,0.895731,0.899437,0.710036,0.934069,0.724141,0.90419
CFS,0.896074,0.796083,0.842252,0.894761,0.908597,0.934593,0.142015,0.892037,0.880111,0.769996,0.902146,0.688188,0.880561
CFS,0.934442,0.837234,0.870421,0.887509,0.918559,0.925381,0.159377,0.883592,0.888764,0.845756,0.924694,0.630373,0.887458
CFS,0.905259,0.827799,0.88806,0.890071,0.94104,0.943216,0.111816,0.915824,0.915152,0.719796,0.916579,0.663538,0.90056
CFS,0.950853,0.836318,0.895852,0.890763,0.926614,0.945159,0.10655,0.92887,0.902698,0.858722,0.949872,0.805464,0.901193
CFS,0.928824,0.799671,0.879558,0.883375,0.909202,0.94496,0.194397,0.91392,0.902155,0.852937,0.929751,0.7309,0.889508
CFS,0.914894,0.815497,0.880375,0.918763,0.919945,0.922148,0.16699,0.894093,0.893847,0.778862,0.930299,0.659179,0.874702
CFS,0.925645,0.842013,0.935558,0.935631,0.914854,0.946131,0.164513,0.902836,0.944674,0.819167,0.970736,0.602719,0.915514
CFS,0.914663,0.8351,0.875321,0.923128,0.932734,0.934295,0.0956146,0.893903,0.938504,0.867114,0.955303,0.714141,0.915582
CFS,0.915292,0.830775,0.90205,0.947346,0.889329,0.929034,0.179665,0.873201,0.911978,0.713064,0.961555,0.578613,0.887465
HC,0.893522,0.824756,0.888159,0.91009,0.912285,0.951938,0.159332,0.89534,0.919189,0.811665,0.956522,0.67382,0.907928
HC,0.868446,0.828291,0.88161,0.91416,0.934247,0.93456,0.321059,0.917768,0.93672,0.867577,0.945384,0.693115,0.913287
HC,0.835207,0.842166,0.893149,0.906714,0.90816,0.939079,0.125585,0.899886,0.933463,0.825573,0.949283,0.682062,0.910109
HC,0.91203,0.846686,0.888547,0.909335,0.912393,0.945578,0.159096,0.908667,0.926636,0.814216,0.957061,0.736718,0.90455
HC,0.910865,0.842808,0.887766,0.913137,0.946893,0.95129,0.241843,0.921622,0.933844,0.832786,0.950809,0.750588,0.915104
HC,0.876057,0.851205,0.893005,0.925106,0.904251,0.94773,0.112141,0.923417,0.9305,0.877767,0.959138,0.677565,0.89692
HC,0.87139,0.850133,0.865483,0.920331,0.878952,0.92979,0.0950784,0.901816,0.926625,0.814372,0.957594,0.695159,0.907107
HC,0.893458,0.843525,0.864919,0.908563,0.916239,0.951825,0.241791,0.880296,0.907772,0.834132,0.958621,0.703973,0.902761
HC,0.883161,0.837651,0.873126,0.932392,0.911259,0.94027,0.178931,0.906699,0.930992,0.801306,0.95184,0.725029,0.912686
HC,0.923535,0.843133,0.901944,0.92068,0.919407,0.93855,0.2847,0.896075,0.915819,0.867591,0.95173,0.666726,0.910105
HC,0.895831,0.840998,0.894699,0.914523,0.920242,0.933728,0.102242,0.894139,0.925003,0.884231,0.93794,0.69141,0.903882
HC,0.886309,0.839492,0.836416,0.922544,0.890996,0.924973,0.207246,0.877153,0.939428,0.778429,0.939427,0.582578,0.898185
HC,0.916901,0.787425,0.881627,0.877913,0.923549,0.926589,0.102045,0.894411,0.917448,0.686593,0.919886,0.712514,0.917437
HC,0.911583,0.806908,0.830091,0.889047,0.905794,0.939286,0.165347,0.905227,0.873358,0.783921,0.926981,0.630571,0.891587
HC,0.907143,0.794522,0.865157,0.89693,0.900367,0.929826,0.253195,0.896872,0.905064,0.8038,0.935291,0.737757,0.888397
HC,0.848385,0.810533,0.86439,0.897522,0.945476,0.914505,0.118491,0.896808,0.882369,0.844478,0.943548,0.639223,0.89596
HC,0.905974,0.82239,0.894568,0.906986,0.919026,0.946496,0.209722,0.927086,0.91586,0.815755,0.928177,0.743621,0.909431
HC,0.905713,0.826648,0.909185,0.901863,0.93248,0.951842,0.121204,0.899094,0.903884,0.849577,0.954548,0.745194,0.911766
HC,0.943362,0.783297,0.8937,0.889495,0.950849,0.93464,0.0992744,0.90499,0.881065,0.890589,0.909622,0.75093,0.903226
HC,0.91312,0.811558,0.885252,0.88367,0.904166,0.930975,0.137742,0.883739,0.889358,0.769333,0.930366,0.692608,0.882528
HC,0.891956,0.803415,0.891,0.886519,0.880211,0.935769,0.282616,0.913641,0.881512,0.87429,0.900314,0.704841,0.904966
HC,0.93307,0.827958,0.906981,0.899391,0.9341,0.937642,0.14568,0.912592,0.901552,0.862628,0.945106,0.808938,0.904965
HC,0.897102,0.824602,0.908583,0.900123,0.946428,0.947266,0.317458,0.917608,0.913884,0.883919,0.952837,0.697697,0.895584
HC,0.895084,0.808938,0.8949,0.909901,0.89009,0.905163,0.193845,0.847019,0.876786,0.766207,0.948831,0.555377,0.840676
HC,0.896174,0.803744,0.884097,0.879641,0.929882,0.924461,0.167082,0.873694,0.894241,0.790915,0.912679,0.621027,0.888837
HC,0.913618,0.824637,0.819282,0.905377,0.9145,0.949436,0.098798,0.911896,0.90793,0.842102,0.942553,0.679695,0.91808
